Ground Truth: d1=-1.000 -> (red, alpha)=(0.018, 0.130)
d1	red	alpha	loss	grad
-2.00000	0.00235	0.03017	0.10125	-0.02728
-1.96875	0.00241	0.03105	0.10037	-0.02895
-1.93750	0.00248	0.03198	0.09944	-0.03077
-1.90625	0.00255	0.03298	0.09845	-0.03275
-1.87500	0.00263	0.03403	0.09739	-0.03490
-1.84375	0.00272	0.03516	0.09626	-0.03724
-1.81250	0.00281	0.03636	0.09506	-0.03979
-1.78125	0.00291	0.03765	0.09378	-0.04256
-1.75000	0.00302	0.03903	0.09240	-0.04558
-1.71875	0.00313	0.04050	0.09092	-0.04887
-1.68750	0.00326	0.04209	0.08934	-0.05245
-1.65625	0.00340	0.04378	0.08764	-0.05635
-1.62500	0.00355	0.04561	0.08582	-0.06059
-1.59375	0.00371	0.04757	0.08385	-0.06519
-1.56250	0.00390	0.04969	0.08174	-0.07019
-1.53125	0.00410	0.05196	0.07946	-0.07561
-1.50000	0.00433	0.05441	0.07701	-0.08148
-1.46875	0.00459	0.05705	0.07436	-0.08782
-1.43750	0.00487	0.05990	0.07151	-0.09467
-1.40625	0.00519	0.06296	0.06844	-0.10204
-1.37500	0.00556	0.06626	0.06513	-0.10996
-1.34375	0.00597	0.06981	0.06156	-0.11845
-1.31250	0.00645	0.07364	0.05772	-0.12753
-1.28125	0.00699	0.07775	0.05358	-0.13722
-1.25000	0.00762	0.08216	0.04914	-0.14752
-1.21875	0.00833	0.08689	0.04436	-0.15845
-1.18750	0.00916	0.09196	0.03923	-0.16999
-1.15625	0.01011	0.09738	0.03373	-0.18217
-1.12500	0.01122	0.10318	0.02784	-0.19495
-1.09375	0.01249	0.10935	0.02154	-0.20834
-1.06250	0.01397	0.11591	0.01481	-0.22231
-1.03125	0.01567	0.12288	0.00764	-0.23685
-1.00000	0.01763	0.13026	0.00000	-0.00000
-0.96875	0.01988	0.13806	0.00811	0.26749
-0.93750	0.02247	0.14627	0.01672	0.28352
-0.90625	0.02543	0.15490	0.02584	0.29998
-0.87500	0.02881	0.16393	0.03548	0.31681
-0.84375	0.03264	0.17337	0.04564	0.33396
-0.81250	0.03697	0.18319	0.05635	0.35137
-0.78125	0.04184	0.19339	0.06761	0.36896
-0.75000	0.04729	0.20393	0.07941	0.38665
-0.71875	0.05336	0.21479	0.09177	0.40433
-0.68750	0.06008	0.22595	0.10468	0.42188
-0.65625	0.06748	0.23736	0.11814	0.43917
-0.62500	0.07558	0.24900	0.13212	0.45604
-0.59375	0.08438	0.26082	0.14663	0.47228
-0.56250	0.09389	0.27278	0.16163	0.48771
-0.53125	0.10409	0.28482	0.17710	0.50207
-0.50000	0.11497	0.29692	0.19300	0.51513
-0.46875	0.12648	0.30901	0.20928	0.52662
-0.43750	0.13858	0.32105	0.22589	0.53627
-0.40625	0.15121	0.33299	0.24278	0.54381
-0.37500	0.16430	0.34477	0.25986	0.54899
-0.34375	0.17776	0.35636	0.27706	0.55157
-0.31250	0.19150	0.36771	0.29430	0.55136
-0.28125	0.20542	0.37878	0.31149	0.54819
-0.25000	0.21943	0.38951	0.32853	0.54194
-0.21875	0.23340	0.39989	0.34533	0.53257
-0.18750	0.24723	0.40986	0.36178	0.52007
-0.15625	0.26080	0.41940	0.37780	0.50450
-0.12500	0.27402	0.42849	0.39329	0.48599
-0.09375	0.28678	0.43709	0.40815	0.46471
-0.06250	0.29899	0.44519	0.42230	0.44089
-0.03125	0.31056	0.45277	0.43568	0.41480
0.00000	0.32142	0.45981	0.44821	0.38676
0.03125	0.33150	0.46632	0.45983	0.35711
0.06250	0.34076	0.47227	0.47051	0.32619
0.09375	0.34915	0.47768	0.48021	0.29439
0.12500	0.35665	0.48253	0.48891	0.26206
0.15625	0.36325	0.48684	0.49659	0.22957
0.18750	0.36895	0.49060	0.50326	0.19724
0.21875	0.37375	0.49383	0.50892	0.16541
0.25000	0.37768	0.49654	0.51360	0.13435
0.28125	0.38076	0.49873	0.51733	0.10432
0.31250	0.38304	0.50042	0.52014	0.07554
0.34375	0.38456	0.50163	0.52207	0.04818
0.37500	0.38537	0.50238	0.52317	0.02240
0.40625	0.38552	0.50268	0.52348	-0.00170
0.43750	0.38507	0.50255	0.52308	-0.02405
0.46875	0.38408	0.50202	0.52200	-0.04462
0.50000	0.38260	0.50110	0.52031	-0.06339
0.53125	0.38069	0.49982	0.51806	-0.08038
0.56250	0.37840	0.49820	0.51530	-0.09564
0.59375	0.37580	0.49626	0.51210	-0.10922
0.62500	0.37293	0.49403	0.50849	-0.12120
0.65625	0.36982	0.49153	0.50454	-0.13166
0.68750	0.36654	0.48879	0.50028	-0.14070
0.71875	0.36311	0.48581	0.49576	-0.14841
0.75000	0.35958	0.48264	0.49101	-0.15490
0.78125	0.35596	0.47928	0.48609	-0.16027
0.81250	0.35229	0.47577	0.48101	-0.16461
0.84375	0.34859	0.47211	0.47581	-0.16804
0.87500	0.34488	0.46834	0.47052	-0.17063
0.90625	0.34117	0.46446	0.46515	-0.17248
0.93750	0.33748	0.46050	0.45974	-0.17367
0.96875	0.33382	0.45647	0.45430	-0.17428
1.00000	0.33021	0.45239	0.44886	-0.17437
1.03125	0.32663	0.44827	0.44341	-0.17402
1.06250	0.32311	0.44413	0.43798	-0.17328
1.09375	0.31964	0.43997	0.43258	-0.17220
1.12500	0.31623	0.43581	0.42722	-0.17084
1.15625	0.31287	0.43166	0.42191	-0.16924
1.18750	0.30958	0.42752	0.41665	-0.16743
1.21875	0.30634	0.42341	0.41145	-0.16546
1.25000	0.30317	0.41932	0.40631	-0.16334
1.28125	0.30005	0.41527	0.40124	-0.16112
1.31250	0.29699	0.41126	0.39624	-0.15881
1.34375	0.29400	0.40730	0.39131	-0.15644
1.37500	0.29105	0.40338	0.38646	-0.15402
1.40625	0.28817	0.39951	0.38169	-0.15156
1.43750	0.28533	0.39570	0.37699	-0.14909
1.46875	0.28255	0.39194	0.37237	-0.14662
1.50000	0.27982	0.38824	0.36783	-0.14415
1.53125	0.27715	0.38459	0.36336	-0.14169
1.56250	0.27452	0.38100	0.35897	-0.13926
1.59375	0.27194	0.37746	0.35466	-0.13685
1.62500	0.26940	0.37399	0.35042	-0.13447
1.65625	0.26691	0.37057	0.34625	-0.13213
1.68750	0.26447	0.36721	0.34216	-0.12982
1.71875	0.26207	0.36390	0.33814	-0.12756
1.75000	0.25971	0.36065	0.33419	-0.12534
1.78125	0.25739	0.35745	0.33030	-0.12316
1.81250	0.25511	0.35431	0.32649	-0.12102
1.84375	0.25287	0.35122	0.32274	-0.11893
1.87500	0.25067	0.34818	0.31905	-0.11689
1.90625	0.24851	0.34519	0.31543	-0.11489
1.93750	0.24638	0.34225	0.31187	-0.11293
1.96875	0.24429	0.33935	0.30837	-0.11102
2.00000	0.24223	0.33651	0.30493	-0.10915
1000.00000	0.00057	0.00422	0.12719	-0.00000
